county,avg_inspected_damage,total_inspected,total_damage,no_inspected_damage,damage_1_10000,damage_10000_20000,damage_20000_30000,damage_30000_max,approved_for_assistance,total_approved_amt,repair_replace_amt,rental_amt,other_needs_amt,approved_1_10000,approved_10001_25000,approved_25001_max,total_max_grants,GDPsub_Gov2012,GDPsub_Gov2013,GDPsub_Gov2014,GDPsub_Gov2015,GDPsub_PrGood2012,GDPsub_PrGood2013,GDPsub_PrGood2014,GDPsub_PrGood2015,GDPsub_PrServ2012,GDPsub_PrServ2013,GDPsub_PrServ2014,GDPsub_PrServ2015,GDP_2012,GDP_2013,GDP_2014,GDP_2015,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
fayette,43391.583110299995,469,7354485,105,151,37,34,142,307,4808045,4019946,344673,443428,146,47,114,73,123634,117873,123097,122948,238806,269223,280206,238117,866405,994005,1017413,991423,1228844,1381101,1420716,1352488,28574,29469,29302,32037,34445,36346,36032,38105,40942,44413,46040,50975,49026,47325,48833,22910,23107,23342,23631,23898,24347,24470,24557,24744,24654,24716,24789,24967,25070,25272,654620,680950,683968,757059,823168,884917,881691,935736,1013059,1094968,1137920,1263630,1224028,1186432,1234101
fort bend,275024.51850403997,20058,115483864,7905,7035,2874,1679,563,15544,87753355,63122406,14230431,10400518,11847,2947,750,208,1604252,1687741,1799770,1970423,5979070,6494371,6654571,6437225,10068399,11074965,11739942,12895806,17651721,19257077,20194282,21303455,34280,35203,37822,40953,44551,49149,45978,46798,49448,52521,54301,58706,61588,54489,54510,418747,441139,462953,490916,516564,542957,569130,590286,606499,625394,652496,683943,713881,741958,764828,14354531,15529458,17509786,20104295,23013549,26685610,26167726,27624339,29990231,32846015,35431372,40151774,43966778,40428293,41690472
galveston,166086.6823323,17999,151293076,4419,6890,4260,1614,815,12420,88318632,60271044,17117479,10930105,8744,3033,643,214,2269448,2353375,2354272,2537354,4601894,5338676,3622757,4350482,5235406,5410180,5758736,5939233,12106748,13102231,11735766,12827068,31549,31872,33431,36287,38821,39935,40250,40715,43169,45171,45574,48068,50015,48529,49079,265269,269760,274806,279182,283770,288643,287428,292470,295609,301059,306662,313609,321305,329306,335036,8368997,8597841,9187021,10130542,11016278,11526923,11569093,11907882,12761027,13599275,13975675,15074714,16070220,15980973,16443373
goliad,17142.497356,595,795889,127,457,9,2,0,281,591520,344263,145332,101925,275,5,1,0,26472,27888,28402,29530,77259,89903,75532,49668,306733,282511,309077,214264,410464,400302,413011,293462,25553,25595,27136,29806,30078,30296,28988,30355,35308,38278,40873,44610,42041,41097,40890,7135,7071,7070,7121,7142,7164,7157,7219,7208,7332,7451,7504,7510,7521,7562,182321,180979,191855,212251,214815,217044,207470,219130,254498,280656,304546,334757,315729,309087,309209
gonzales,6520.8214853,339,400825,136,193,9,1,0,112,254728,180950,26296,47481,105,7,0,0,85444,93494,100200,108206,327550,380898,375992,383490,229875,230963,231914,230112,642869,705354,708106,721808,25100,25175,25571,24392,25431,27774,27835,30383,31385,33624,36358,42490,44425,38691,41154,19181,19370,19656,19633,19512,19538,19628,19788,19742,19915,20139,20357,20538,20863,20893,481442,487643,502630,478887,496206,542649,546353,601228,619612,669625,732221,864977,912395,807209,859835
grimes,31341.252408999997,271,798965,80,168,18,3,2,119,625044,461919,75682,87444,100,17,2,0,130797,131076,131939,136478,469036,441572,425349,368654,629869,653993,585099,576444,1229702,1226641,1142388,1081576,20980,20701,22421,23773,26126,27658,27750,28962,29706,32043,32118,34537,34633,33065,33661,25016,25209,25350,25639,26046,26273,26422,26613,26642,26672,26793,27009,27330,27574,28082,524827,521845,568378,609510,680473,726662,733200,770770,791422,854642,860535,932817,946516,911724,945255
hardin,193036.434097,4831,64758723,1478,1547,371,433,1002,3614,33177228,26470491,3854436,2852300,2477,512,625,388,134314,135629,139351,144888,395839,523803,455774,386660,598840,607698,622382,620603,1128994,1267130,1217507,1152151,24975,25474,27318,29676,31813,35128,34352,35039,37038,38996,38802,41272,42948,43581,44456,49472,50220,51141,51470,52446,53206,54228,54783,55061,55117,55301,55505,55758,56261,57139,1235539,1279317,1397064,1527427,1668461,1869024,1862822,1919532,2039328,2149366,2145805,2290777,2394716,2451909,2540181
harris,1386340.5299718198,131080,1040892739,39335,49326,23582,11006,7823,87366,579104624,387081868,114142847,77879911,64519,17475,5372,2175,22510427,23718471,24916846,26559297,147166060,158361188,151076820,131583809,207419397,213813227,226394473,237641342,377095884,395892886,402388140,395784448,34827,37197,40005,43126,44569,48668,43940,45783,48983,53098,51664,54624,54100,51186,53188,3586133,3630185,3681829,3807435,3863344,3938580,4034866,4107854,4180816,4262689,4353517,4452695,4551362,4617041,4652980,124893249,135030598,147289948,164198980,172183772,191682384,177293047,188069409,204786974,226341627,224919633,243224870,246226696,236329533,247482118
jackson,8776.2405445,695,473920,241,449,3,1,1,399,449071,183378,85263,180429,395,3,1,0,61784,65245,68641,73376,256913,298270,288198,266024,161420,165782,194230,220886,480116,529298,551069,560285,25486,25475,27006,28910,30697,32812,30482,32687,34543,36878,38271,39890,39350,38450,39981,14070,14039,14037,13954,13857,13957,14089,14090,14044,14267,14609,14721,14792,14851,14805,358594,357637,379077,403410,425372,457953,429464,460561,485119,526145,559101,587225,582065,571016,591922
jasper,70720.541019,1879,5276422,743,959,127,32,18,1151,4179795,2883330,570676,725789,1012,114,25,8,124827,127928,129968,133635,308354,321827,341452,305414,431525,430216,467028,460598,864706,879972,938448,899647,21617,22099,23977,26437,27708,30110,29871,31419,32295,33752,33907,36940,37580,38392,39105,35580,35493,35558,34861,35069,35170,35331,35774,36192,35837,35600,35409,35250,35401,35561,769124,784373,852586,921622,971686,1058958,1055360,1123983,1168805,1209560,1207104,1308005,1324707,1359121,1390610
