,,,,,,,,,,,,,,,,,,,,,,
Disaster,State,County,City,Zip Code,Valid Registrations,Average FEMA Inspected Damage,Total Inspected,Total Damage,No FEMA Inspected Damage,"FEMA Inspected Damage between $1 and $10,000","FEMA Inspected Damage between $10,001 and $20,000","FEMA Inspected Damage between $20,001 and $30,000","FEMA Inspected Damage > $30,000",Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
1603,LA,Acadia (Parish),MERMENTAU,70556,9,$96,7,$669,6,1,0,0,0,5,"$12,925",$0,"$12,675",$250,5,0,0,0
1603,LA,Acadia (Parish),METAIRIE,70001,2,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),METAIRIE,70002,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),METAIRIE,70003,6,"$2,266",5,"$11,332",4,0,1,0,0,4,"$20,652","$5,200","$9,320","$6,132",3,1,0,0
1603,LA,Acadia (Parish),METAIRIE,70005,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),METAIRIE,70006,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),MORGAN CITY,70830,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),MORSE,70559,18,"$3,868",15,"$58,026",10,3,1,0,1,10,"$40,911","$5,200","$21,470","$14,241",9,1,0,0
1603,LA,Acadia (Parish),NEW ORLEANS,70113,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),NEW ORLEANS,70114,3,$0,2,$0,2,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
