,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,
disaster,state,mergecell,county,city,zip,valid_registrations,avg_inspected_damage,total_inspected,total_damage,no_inspected_damage,damage_1_10000,damage_10000_20000,damage_20000_30000,damage_30000_max,approved_for_assistance,total_approved_amt,repair_replace_amt,rental_amt,other_needs_amt,approved_1_10000,approved_10001_25000,approved_25001_max,total_max_grants,disaster_type,county_clean,,,State,County,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
1606,TX,angelina_tx,Angelina ,NACOGDOCHES,75964,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,angelina_tx,Angelina ,PEARLAND,77584,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,angelina_tx,Angelina ,POLLOK,75969,345,975,242,235903,69,171,1,0,1,145,197142,63530,71629,61983,145,0,0,0,Hurricane,angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,angelina_tx,Angelina ,ZAVALLA,75951,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,angelina_tx,Angelina ,ZAVALLA,75980,820,1381,612,845013,163,440,4,2,3,444,829042,237127,381180,210736,437,7,0,0,Hurricane,angelina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,blanco_tx,Blanco ,VIDOR,77662,1,0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,Hurricane,blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,6018 BROOKSIDE DRIVE,77581,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,ALVIN,77511,1025,359,503,180498,272,229,2,0,0,138,255375,57344,172485,25546,137,1,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,ALVIN,77512,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,ALVIN,77546,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,ANGELTON,77515,1,70,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,ANGLETON,77515,522,302,209,63154,138,70,0,0,1,44,98143,22816,66677,8649,43,1,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,ANGLETON,77516,3,170,3,509,2,1,0,0,0,1,2509,0,2000,509,1,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,BATSON,77519,1,0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,BAYTOWN,77521,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
