Rita,Harvey,mergecell,Geofips,State,Geoname,GDPsub_Gov2012,GDPsub_Gov2013,GDPsub_Gov2014,GDPsub_Gov2015,GDPsub_PrGood2012,GDPsub_PrGood2013,GDPsub_PrGood2014,GDPsub_PrGood2015,GDPsub_PrServ2012,GDPsub_PrServ2013,GDPsub_PrServ2014,GDPsub_PrServ2015,GDP_2012,GDP_2013,GDP_2014,GDP_2015,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
0,0,live oak_tx,48297,TX,"Live Oak, TX",66060,67682,71053,74841,416054,479013,399015,341690,178108,200544,240332,308591,660222,747240,710400,725123,21570,22299,22838,24668,26017,28839,27257,27644,33015,36020,38748,41421,37235,32383,32196,11768,11689,11631,11559,11528,11479,11410,11551,11502,11649,11815,12044,12158,12022,12174,253834,260657,265632,285132,299921,331038,310997,319314,379737,419592,457805,498873,452708,389303,391956
0,0,llano_tx,48299,TX,"Llano, TX",55799,54868,58018,58856,64202,64202,64150,65981,253142,246763,258948,420566,373143,365833,381115,545403,24213,25441,25835,27223,28717,31227,30355,32686,35626,38437,39938,44090,45169,46282,46826,18153,18220,18425,18502,18935,19034,19175,19332,19061,19256,19499,19639,20057,20570,21210,439532,463537,476008,503671,543751,594370,582049,631887,679061,740138,778758,865881,905960,952016,993186
0,0,loving_tx,48301,TX,"Loving, TX",1068,1069,1088,1055,950,0,0,2000,735,0,0,1245,2753,3652,3586,4300,42958,59655,46957,48640,49329,52574,29039,26381,26242,27953,23953,36517,31134,48070,45858,72,55,70,75,79,61,77,84,95,86,106,89,119,115,134,3093,3281,3287,3648,3897,3207,2236,2216,2493,2404,2539,3250,3705,5528,6145
0,0,lubbock_tx,48303,TX,"Lubbock, TX",2111424,2227742,2358578,2470269,1277735,1413201,1377530,1296509,7354256,7486808,7705883,8093856,10743415,11127751,11441991,11860634,25911,26343,27828,29246,30430,32393,32224,33542,34936,36804,37224,38861,39704,40326,41433,253388,255669,257779,261761,265215,268197,274252,280286,283388,286076,289611,294610,298463,302301,305225,6565479,6735004,7173441,7655501,8070421,8687643,8837564,9401461,9900532,10528725,10780601,11448693,11850032,12190679,12646303
0,0,lynn_tx,48305,TX,"Lynn, TX",28884,31381,32408,33814,36455,49686,52892,61795,45609,52090,52165,53816,110948,133157,137464,149425,27786,30251,31293,23152,34780,23719,28069,36902,29959,27693,42445,27812,35439,31129,34704,6232,6172,6178,6192,5989,5932,5927,5914,5887,5796,5728,5799,5746,5795,5859,173162,186712,193327,143360,208295,140699,166367,218239,176369,160510,243126,161282,203635,180393,203328
0,0,mcculloch_tx,48307,TX,"McCulloch, TX",37196,38526,39902,42539,115327,124156,152080,136261,165355,177348,165773,167224,317877,340031,357755,346023,24604,23508,23845,25034,28291,30074,26946,29067,34147,33841,34134,36080,36414,35039,37492,8033,8164,8117,8183,8105,8203,8365,8230,8254,8241,8244,8152,8253,8121,7957,197642,191918,193551,204853,229301,246701,225400,239225,281852,278881,281400,294121,300522,284551,298322
0,0,mclennan_tx,48309,TX,"McLennan, TX",1211799,1239100,1269445,1312289,3533849,4367013,4649070,4139706,5206143,5421470,5802211,5941061,9951790,11027582,11720727,11393057,25550,25992,27347,28459,29495,30520,30474,31591,32686,34016,34384,35969,37594,38655,39740,218744,221353,222794,224452,226741,229037,231679,235911,237826,239292,241406,243091,245368,247478,251259,5588877,5753325,6092854,6387666,6687797,6990102,7060268,7452656,7773642,8139864,8300541,8743650,9224448,9566346,9985065
0,0,mcmullen_tx,48311,TX,"McMullen, TX",7450,9353,9941,11261,36649,47384,53251,59102,22417,33180,48923,50313,66517,89916,112115,120676,32114,35812,31882,35400,34614,41357,40472,36793,56547,56555,72743,96258,102262,68659,58513,801,735,789,765,773,736,699,711,697,730,760,795,829,815,778,25723,26322,25155,27081,26757,30439,28290,26160,39413,41285,55285,76525,84775,55957,45523
0,0,madison_tx,48313,TX,"Madison, TX",71181,74626,78076,81462,140058,204290,197301,212323,138997,149911,161362,159353,350236,428827,436739,453137,21172,20647,21675,21639,23405,23983,23214,23763,25584,27571,28889,31227,30608,29273,29957,12989,13146,13136,13264,13353,13340,13483,13734,13739,13727,13800,13843,13936,14094,14222,275007,271422,284727,287021,312528,319935,312995,326356,351494,378468,398671,432279,426549,412575,426052
0,0,marion_tx,48315,TX,"Marion, TX",25116,24838,24230,24954,33100,39069,58115,75189,110705,119610,98458,96007,168921,183516,180803,196150,18638,19890,20777,21601,23042,25858,26174,28381,30610,32756,34320,35779,35437,35485,36419,11120,11004,10980,10992,10951,10748,10669,10488,10479,10378,10273,10148,10127,10087,10064,207259,218866,228127,237433,252338,277923,279254,297662,320760,339938,352571,363084,358872,357933,366520
