Year,Period,Area,Ownership,Industry Code,Industry,Level,Establishments,Firms,Average Employment,Average Weekly Wage,Total Wages,Month 1 Employment,Month 2 Employment,Month 3 Employment,Hierarchical Ordering
2016,02,Orange,Total All,23,Construction,2,132,127,"2,421","1,204","37,880,114","2,364","2,416","2,483",193
2016,02,Jefferson,Total All,23,Construction,2,429,410,"13,774","1,349","241,555,511","13,827","13,529","13,966",193
2016,03,Hardin,Total All,23,Construction,2,101,98,"1,235","1,038","16,663,949","1,266","1,231","1,209",193
2016,03,Harris,Total All,23,Construction,2,"7,265","6,912","164,057","1,349","2,877,262,376","164,510","163,275","164,386",193
2016,03,Orange,Total All,23,Construction,2,132,128,"2,590","1,347","45,353,268","2,483","2,652","2,635",193
2016,03,Jefferson,Total All,23,Construction,2,429,409,"13,536","1,421","250,050,914","13,378","13,438","13,791",193
2016,04,Hardin,Total All,23,Construction,2,103,100,"1,174","1,411","21,526,030","1,165","1,162","1,194",193
2016,04,Orange,Total All,23,Construction,2,128,124,"2,655","1,307","45,091,500","2,699","2,645","2,620",193
2016,04,Jefferson,Total All,23,Construction,2,428,409,"13,068","1,431","243,045,944","13,792","12,918","12,493",193
2016,04,Harris,Total All,23,Construction,2,"7,265","6,916","162,471","1,465","3,094,906,804","165,114","162,729","159,571",193
2017,01,Orange,Total All,23,Construction,2,130,126,"2,563","1,143","38,088,513","2,670","2,595","2,423",193
2017,01,Hardin,Total All,23,Construction,2,102,98,"1,249","1,053","17,095,214","1,132","1,293","1,322",193
2017,01,Harris,Total All,23,Construction,2,"7,362","7,012","159,285","1,423","2,946,903,011","156,394","159,886","161,576",193
2017,01,Jefferson,Total All,23,Construction,2,433,417,"13,620","1,401","248,026,489","13,149","13,722","13,988",193
2017,02,Orange,Total All,23,Construction,2,128,124,"2,398","1,556","48,503,991","2,404","2,425","2,365",193
2017,02,Hardin,Total All,23,Construction,2,103,99,"1,299","1,060","17,892,951","1,281","1,260","1,356",193
2017,02,Jefferson,Total All,23,Construction,2,443,428,"14,211","1,402","258,935,194","13,897","14,365","14,371",193
2017,02,Harris,Total All,23,Construction,2,"7,407","7,060","162,215","1,320","2,783,382,297","161,443","162,809","162,393",193
2017,03,Hardin,Total All,23,Construction,2,106,102,"1,307","1,048","17,804,398","1,380","1,263","1,279",193
2017,03,Jefferson,Total All,23,Construction,2,445,428,"14,299","1,371","254,779,356","14,406","14,188","14,303",193
2017,03,Orange,Total All,23,Construction,2,123,120,"2,328","1,229","37,197,026","2,375","2,206","2,404",193
2017,03,Harris,Total All,23,Construction,2,"7,429","7,079","159,610","1,280","2,656,817,601","159,417","159,941","159,471",193
2017,04,Hardin,Total All,23,Construction,2,108,104,"1,299","1,256","21,206,614","1,314","1,259","1,323",193
2017,04,Harris,Total All,23,Construction,2,"7,529","7,159","162,014","1,472","3,100,674,660","163,518","162,174","160,349",193
2017,04,Orange,Total All,23,Construction,2,129,125,"2,423","1,224","38,562,457","2,415","2,474","2,380",193
2017,04,Jefferson,Total All,23,Construction,2,454,436,"14,882","1,491","288,427,510","15,034","14,801","14,811",193
2018,01,Hardin,Total All,23,Construction,2,109,105,"1,432","1,165","21,684,434","1,422","1,474","1,399",193
2018,01,Jefferson,Total All,23,Construction,2,454,432,"15,212","1,402","277,336,932","14,888","15,626","15,123",193
2018,01,Harris,Total All,23,Construction,2,"7,550","7,190","160,277","1,450","3,021,508,525","156,283","160,935","163,614",193
2018,01,Orange,Total All,23,Construction,2,135,131,"2,473","1,050","33,758,990","2,376","2,517","2,527",193
2018,02,Orange,Total All,23,Construction,2,135,131,"2,433","1,224","38,722,673","2,383","2,440","2,475",193
2018,02,Hardin,Total All,23,Construction,2,111,107,"1,529","1,102","21,918,585","1,540","1,535","1,513",193
2018,02,Jefferson,Total All,23,Construction,2,452,431,"15,234","1,389","275,008,592","15,172","15,250","15,279",193
2018,02,Harris,Total All,23,Construction,2,"7,621","7,249","164,882","1,351","2,896,080,236","164,469","165,155","165,023",193
2018,03,Jefferson,Total All,23,Construction,2,450,426,"14,755","1,380","264,656,203","14,570","14,772","14,923",193
2018,03,Harris,Total All,23,Construction,2,"7,631","7,263","164,475","1,341","2,867,296,935","163,600","165,027","164,799",193
2018,03,Orange,Total All,23,Construction,2,140,136,"2,656","1,171","40,434,132","2,614","2,648","2,705",193
2018,03,Hardin,Total All,23,Construction,2,109,104,"1,584","1,122","23,112,953","1,604","1,620","1,528",193
