Year,Period,Area,Ownership,Industry Code,Industry,Level,Establishments,Firms,Average Employment,Average Weekly Wage,Total Wages,Month 1 Employment,Month 2 Employment,Month 3 Employment,Hierarchical Ordering
2004,03,Jefferson,Total All,23,Construction,2,419,412,"10,024",727,"94,680,054","10,035","10,068","9,968",193
2004,03,Harris,Total All,23,Construction,2,"6,408","5,988","134,514",836,"1,461,226,927","134,333","134,624","134,585",193
2004,03,Hardin,Total All,23,Construction,2,96,94,"1,500",705,"13,745,517","1,467","1,489","1,545",193
2004,03,Orange,Total All,23,Construction,2,134,133,"1,745",595,"13,504,439","1,754","1,725","1,756",193
2004,04,Jefferson,Total All,23,Construction,2,423,416,"9,986",782,"101,515,927","10,008","9,942","10,008",193
2004,04,Harris,Total All,23,Construction,2,"6,382","5,970","136,885",929,"1,653,869,490","136,926","136,590","137,139",193
2004,04,Orange,Total All,23,Construction,2,133,132,"1,819",632,"14,943,327","1,759","1,823","1,874",193
2004,04,Hardin,Total All,23,Construction,2,99,97,"1,455",710,"13,420,876","1,506","1,417","1,441",193
2005,01,Jefferson,Total All,23,Construction,2,419,411,"10,474",753,"102,489,254","10,142","10,529","10,752",193
2005,01,Hardin,Total All,23,Construction,2,99,98,"1,449",700,"13,190,097","1,467","1,443","1,437",193
2005,01,Orange,Total All,23,Construction,2,131,130,"1,397",565,"10,266,807","1,386","1,388","1,417",193
2005,01,Harris,Total All,23,Construction,2,"6,302","5,876","134,456",832,"1,453,665,734","133,182","134,058","136,129",193
2005,02,Hardin,Total All,23,Construction,2,95,94,"1,538",706,"14,113,509","1,429","1,530","1,655",193
2005,02,Orange,Total All,23,Construction,2,133,132,"1,490",597,"11,570,391","1,481","1,447","1,541",193
2005,02,Jefferson,Total All,23,Construction,2,414,406,"10,645",737,"101,998,891","10,644","10,645","10,647",193
2005,02,Harris,Total All,23,Construction,2,"6,264","5,836","135,943",843,"1,490,361,482","137,133","135,439","135,258",193
2005,03,Harris,Total All,23,Construction,2,"6,354","5,928","136,399",858,"1,521,871,322","135,161","136,413","137,623",193
2005,03,Orange,Total All,23,Construction,2,136,135,"1,421",577,"10,650,454","1,427","1,399","1,437",193
2005,03,Hardin,Total All,23,Construction,2,95,94,"1,683",738,"16,133,845","1,640","1,684","1,724",193
2005,03,Jefferson,Total All,23,Construction,2,418,410,"11,037",737,"105,796,054","10,871","10,951","11,290",193
2005,04,Jefferson,Total All,23,Construction,2,422,414,"12,445",866,"140,074,476","12,060","12,550","12,725",193
2005,04,Hardin,Total All,23,Construction,2,97,96,"1,756",911,"20,794,705","1,724","1,788","1,757",193
2005,04,Orange,Total All,23,Construction,2,134,133,"1,372",700,"12,476,871","1,439","1,305","1,372",193
2005,04,Harris,Total All,23,Construction,2,"6,349","5,930","139,145",966,"1,746,504,141","138,168","138,956","140,310",193
2006,01,Harris,Total All,23,Construction,2,"6,373","5,960","142,220",939,"1,736,709,239","138,414","142,159","146,087",193
2006,01,Hardin,Total All,23,Construction,2,102,101,"1,706",783,"17,360,751","1,687","1,708","1,723",193
2006,01,Orange,Total All,23,Construction,2,133,130,"1,418",646,"11,909,374","1,380","1,458","1,417",193
2006,01,Jefferson,Total All,23,Construction,2,426,418,"12,646",839,"137,936,806","12,343","12,705","12,891",193
2006,02,Hardin,Total All,23,Construction,2,108,107,"1,872",814,"19,815,614","1,837","1,809","1,971",193
2006,02,Orange,Total All,23,Construction,2,131,128,"1,728",696,"15,638,318","1,645","1,792","1,748",193
2006,02,Jefferson,Total All,23,Construction,2,429,420,"11,996",853,"133,063,131","12,000","12,203","11,784",193
2006,02,Harris,Total All,23,Construction,2,"6,362","5,942","144,339",906,"1,699,866,729","142,516","144,228","146,273",193
2006,03,Hardin,Total All,23,Construction,2,106,105,"1,944",844,"21,329,290","1,784","1,965","2,082",193
2006,03,Jefferson,Total All,23,Construction,2,426,417,"12,041",925,"144,787,331","11,870","12,057","12,196",193
2006,03,Orange,Total All,23,Construction,2,134,131,"1,564",794,"16,137,589","1,601","1,569","1,522",193
2006,03,Harris,Total All,23,Construction,2,"6,379","5,935","145,947",906,"1,719,648,895","145,008","145,521","147,313",193
2006,04,Jefferson,Total All,23,Construction,2,421,411,"12,178","1,008","159,517,468","12,054","12,270","12,210",193
2006,04,Hardin,Total All,23,Construction,2,107,106,"1,913",978,"24,325,501","2,066","1,987","1,686",193
2006,04,Orange,Total All,23,Construction,2,136,133,"1,451",763,"14,395,239","1,466","1,429","1,459",193
2006,04,Harris,Total All,23,Construction,2,"6,416","5,955","148,736","1,085","2,097,497,867","148,404","148,948","148,857",193
2007,01,Orange,Total All,23,Construction,2,139,136,"1,416",739,"13,608,099","1,354","1,447","1,446",193
2007,01,Hardin,Total All,23,Construction,2,110,110,"1,446",857,"16,100,908","1,483","1,396","1,459",193
2007,01,Jefferson,Total All,23,Construction,2,448,437,"13,355",844,"146,464,354","12,864","13,308","13,894",193
2007,01,Harris,Total All,23,Construction,2,"6,762","6,303","150,710",999,"1,956,886,259","147,419","151,318","153,392",193
2007,02,Hardin,Total All,23,Construction,2,110,110,"1,642",814,"17,376,226","1,627","1,617","1,681",193
2007,02,Orange,Total All,23,Construction,2,138,135,"1,475",755,"14,478,825","1,455","1,496","1,474",193
2007,02,Harris,Total All,23,Construction,2,"6,826","6,338","155,139",973,"1,962,705,705","152,719","155,083","157,615",193
2007,02,Jefferson,Total All,23,Construction,2,456,443,"13,897",888,"160,375,376","13,831","13,984","13,875",193
2007,03,Hardin,Total All,23,Construction,2,106,106,"1,366",880,"15,629,272","1,376","1,408","1,313",193
2007,03,Orange,Total All,23,Construction,2,136,132,"1,445",743,"13,957,005","1,447","1,436","1,452",193
2007,03,Jefferson,Total All,23,Construction,2,452,438,"13,876",927,"167,156,071","13,824","13,640","14,163",193
2007,03,Harris,Total All,23,Construction,2,"6,918","6,414","155,807",959,"1,943,110,943","155,852","155,727","155,842",193
2007,04,Jefferson,Total All,23,Construction,2,453,440,"13,841","1,016","182,758,142","14,162","13,733","13,629",193
2007,04,Orange,Total All,23,Construction,2,135,131,"1,496",828,"16,104,326","1,415","1,463","1,611",193
2007,04,Harris,Total All,23,Construction,2,"6,974","6,471","159,974","1,120","2,329,213,041","159,736","160,093","160,094",193
2007,04,Hardin,Total All,23,Construction,2,105,105,"1,341",997,"17,389,417","1,365","1,370","1,289",193
2008,01,Harris,Total All,23,Construction,2,"6,741","6,231","161,487","1,043","2,190,173,252","158,706","162,611","163,143",193
2008,01,Orange,Total All,23,Construction,2,130,125,"1,692",755,"16,619,014","1,617","1,683","1,777",193
2008,01,Hardin,Total All,23,Construction,2,99,99,"1,318",964,"16,515,546","1,304","1,295","1,354",193
2008,01,Jefferson,Total All,23,Construction,2,442,428,"14,473","1,016","191,240,947","13,734","14,731","14,955",193
2008,02,Jefferson,Total All,23,Construction,2,445,433,"14,925","1,044","202,606,472","14,777","15,029","14,968",193
2008,02,Harris,Total All,23,Construction,2,"6,755","6,230","164,306","1,045","2,232,773,508","164,122","164,742","164,054",193
2008,02,Hardin,Total All,23,Construction,2,96,96,"1,329","1,003","17,329,697","1,305","1,343","1,338",193
2008,02,Orange,Total All,23,Construction,2,126,122,"1,693",833,"18,334,302","1,720","1,687","1,672",193
2008,03,Hardin,Total All,23,Construction,2,97,97,"1,267",927,"15,264,580","1,329","1,241","1,231",193
2008,03,Harris,Total All,23,Construction,2,"6,745","6,235","162,672","1,002","2,119,468,514","162,846","163,919","161,250",193
2008,03,Orange,Total All,23,Construction,2,124,120,"1,750",757,"17,221,935","1,652","1,704","1,893",193
2008,03,Jefferson,Total All,23,Construction,2,449,436,"16,410","1,047","223,293,391","15,868","16,548","16,815",193
2008,04,Hardin,Total All,23,Construction,2,99,99,"1,490","1,311","25,379,973","1,448","1,486","1,535",193
2008,04,Orange,Total All,23,Construction,2,130,126,"1,959",874,"22,245,332","2,305","1,776","1,795",193
2008,04,Jefferson,Total All,23,Construction,2,464,450,"18,186","1,188","280,924,171","18,047","18,406","18,105",193
2008,04,Harris,Total All,23,Construction,2,"6,770","6,275","163,890","1,207","2,571,386,597","165,735","164,727","161,208",193
2009,01,Jefferson,Total All,23,Construction,2,451,438,"16,289","1,023","216,696,483","17,025","16,197","15,646",193
2009,01,Hardin,Total All,23,Construction,2,100,100,"1,332",941,"16,292,773","1,411","1,322","1,263",193
2009,01,Harris,Total All,23,Construction,2,"6,752","6,252","155,569","1,045","2,113,029,537","157,207","156,147","153,353",193
2009,01,Orange,Total All,23,Construction,2,133,129,"1,596",759,"15,741,949","1,655","1,608","1,524",193
2009,02,Harris,Total All,23,Construction,2,"6,761","6,266","149,495","1,052","2,045,408,972","150,177","150,117","148,191",193
2009,02,Jefferson,Total All,23,Construction,2,458,445,"13,798","1,052","188,783,418","14,179","13,592","13,623",193
2009,02,Orange,Total All,23,Construction,2,133,129,"1,493",780,"15,137,950","1,424","1,506","1,550",193
2009,02,Hardin,Total All,23,Construction,2,103,103,"1,260",948,"15,535,702","1,255","1,282","1,243",193
2009,03,Hardin,Total All,23,Construction,2,102,102,"1,053",852,"11,658,655","1,148","1,013",997,193
2009,03,Jefferson,Total All,23,Construction,2,452,440,"13,890","1,064","192,071,262","13,693","13,879","14,098",193
2009,03,Orange,Total All,23,Construction,2,131,128,"1,462",803,"15,266,410","1,449","1,480","1,456",193
2009,03,Harris,Total All,23,Construction,2,"6,750","6,279","144,352","1,027","1,926,966,832","145,435","144,581","143,041",193
2009,04,Jefferson,Total All,23,Construction,2,456,444,"14,832","1,115","214,900,821","14,766","14,864","14,865",193
2009,04,Harris,Total All,23,Construction,2,"6,675","6,206","140,420","1,217","2,221,832,001","142,686","139,849","138,724",193
2009,04,Hardin,Total All,23,Construction,2,102,102,994,975,"12,598,689","1,014",999,970,193
2009,04,Orange,Total All,23,Construction,2,133,130,"1,435",948,"17,698,262","1,445","1,438","1,423",193
2010,01,Hardin,Total All,23,Construction,2,106,106,938,835,"10,173,353",941,918,954,193
2010,01,Jefferson,Total All,23,Construction,2,450,436,"15,322",990,"197,126,781","15,227","15,278","15,460",193
2010,01,Harris,Total All,23,Construction,2,"6,586","6,140","137,432","1,031","1,841,242,889","137,878","136,861","137,558",193
2010,01,Orange,Total All,23,Construction,2,141,135,"1,368",784,"13,933,364","1,391","1,354","1,358",193
2010,02,Jefferson,Total All,23,Construction,2,448,435,"15,150","1,019","200,713,115","15,115","15,081","15,255",193
2010,02,Hardin,Total All,23,Construction,2,103,103,"1,027",897,"11,976,701","1,033","1,020","1,029",193
2010,02,Orange,Total All,23,Construction,2,136,129,"1,316",796,"13,608,228","1,258","1,358","1,331",193
2010,02,Harris,Total All,23,Construction,2,"6,570","6,135","136,174","1,049","1,857,237,692","136,484","135,952","136,085",193
2010,03,Orange,Total All,23,Construction,2,131,126,"1,380",860,"15,431,317","1,347","1,370","1,424",193
2010,03,Harris,Total All,23,Construction,2,"6,540","6,118","137,405","1,033","1,845,158,016","137,263","137,532","137,419",193
2010,03,Jefferson,Total All,23,Construction,2,450,438,"16,307","1,092","231,497,781","16,239","16,169","16,513",193
2010,03,Hardin,Total All,23,Construction,2,101,101,"1,084","1,125","15,858,071","1,094","1,099","1,060",193
2010,04,Orange,Total All,23,Construction,2,131,127,"1,316","1,040","17,791,211","1,391","1,261","1,296",193
2010,04,Hardin,Total All,23,Construction,2,102,102,"1,103","1,108","15,891,512","1,141","1,095","1,073",193
2010,04,Harris,Total All,23,Construction,2,"6,581","6,148","135,613","1,196","2,108,678,168","137,648","135,191","134,000",193
2010,04,Jefferson,Total All,23,Construction,2,453,441,"17,063","1,142","253,220,507","17,326","17,010","16,854",193
2011,01,Orange,Total All,23,Construction,2,128,125,"1,522",907,"17,954,532","1,481","1,534","1,551",193
2011,01,Jefferson,Total All,23,Construction,2,452,441,"16,349","1,034","219,700,094","16,014","16,291","16,742",193
2011,01,Hardin,Total All,23,Construction,2,104,104,"1,204","1,191","18,639,521","1,130","1,211","1,271",193
2011,01,Harris,Total All,23,Construction,2,"6,567","6,141","133,894","1,086","1,889,477,989","131,893","134,564","135,224",193
2011,02,Hardin,Total All,23,Construction,2,102,102,"1,086",972,"13,724,503","1,158","1,042","1,057",193
2011,02,Orange,Total All,23,Construction,2,125,122,"1,563",972,"19,763,228","1,565","1,561","1,564",193
2011,02,Jefferson,Total All,23,Construction,2,456,445,"16,167","1,076","226,224,624","15,669","16,311","16,522",193
2011,02,Harris,Total All,23,Construction,2,"6,529","6,105","135,033","1,085","1,904,202,394","134,792","134,416","135,891",193
2011,03,Hardin,Total All,23,Construction,2,102,102,"1,096","1,016","14,471,971","1,059","1,063","1,165",193
2011,03,Harris,Total All,23,Construction,2,"6,513","6,101","137,678","1,129","2,020,203,718","136,883","137,661","138,491",193
2011,03,Orange,Total All,23,Construction,2,125,122,"1,743",938,"21,256,475","1,738","1,737","1,755",193
2011,03,Jefferson,Total All,23,Construction,2,460,449,"17,305","1,163","261,528,285","16,996","17,419","17,501",193
2011,04,Hardin,Total All,23,Construction,2,98,98,"1,119","1,127","16,401,610","1,155","1,092","1,111",193
2011,04,Jefferson,Total All,23,Construction,2,454,442,"17,598","1,212","277,161,618","17,609","17,780","17,405",193
2011,04,Orange,Total All,23,Construction,2,121,118,"1,762",983,"22,525,746","1,790","1,749","1,748",193
2011,04,Harris,Total All,23,Construction,2,"6,527","6,113","139,076","1,225","2,214,229,260","139,650","139,296","138,283",193
2012,01,Jefferson,Total All,23,Construction,2,465,447,"17,194","1,207","269,694,486","17,559","17,144","16,878",193
2012,01,Harris,Total All,23,Construction,2,"6,519","6,128","139,827","1,193","2,168,796,962","137,253","140,033","142,196",193
2012,01,Orange,Total All,23,Construction,2,121,115,"1,796",912,"21,291,820","1,712","1,811","1,865",193
2012,01,Hardin,Total All,23,Construction,2,99,99,"1,251","1,166","18,968,575","1,135","1,259","1,359",193
2012,02,Orange,Total All,23,Construction,2,120,114,"1,819",992,"23,459,048","1,884","1,808","1,765",193
2012,02,Harris,Total All,23,Construction,2,"6,505","6,114","142,851","1,135","2,108,591,163","141,582","143,286","143,685",193
2012,02,Hardin,Total All,23,Construction,2,101,100,"1,220","1,091","17,298,397","1,350","1,216","1,093",193
2012,02,Jefferson,Total All,23,Construction,2,458,440,"16,623","1,145","247,520,591","16,858","16,853","16,157",193
