State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Texas,9/2/2006,"12,811",8/26/2006,"99,199","9,152,475",1.08,,,
Texas,9/9/2006,"11,981",9/2/2006,"96,091","9,152,475",1.05,,,
Texas,9/16/2006,"10,329",9/9/2006,"100,403","9,152,475",1.1,,,
Texas,9/23/2006,"11,119",9/16/2006,"95,149","9,152,475",1.04,,,
Texas,9/30/2006,"11,507",9/23/2006,"97,920","9,152,475",1.07,,,
Texas,10/7/2006,"13,144",9/30/2006,"91,757","9,152,475",1,,,
Texas,10/14/2006,"12,306",10/7/2006,"93,923","9,233,824",1.02,,,
Texas,10/21/2006,"12,120",10/14/2006,"93,940","9,233,824",1.02,,,
Texas,10/28/2006,"11,680",10/21/2006,"94,399","9,233,824",1.02,,,
Texas,11/4/2006,"14,075",10/28/2006,"93,857","9,233,824",1.02,,,
Texas,11/11/2006,"12,753",11/4/2006,"94,299","9,233,824",1.02,,,
Texas,11/18/2006,"14,953",11/11/2006,"95,469","9,233,824",1.03,,,
Texas,11/25/2006,"19,859",11/18/2006,"89,300","9,233,824",0.97,,,
Texas,12/2/2006,"14,252",11/25/2006,"106,899","9,233,824",1.16,,,
Texas,12/9/2006,"13,500",12/2/2006,"96,991","9,233,824",1.05,,,
Texas,12/16/2006,"13,302",12/9/2006,"105,314","9,233,824",1.14,,,
Texas,12/23/2006,"17,091",12/16/2006,"98,019","9,233,824",1.06,,,
Texas,12/30/2006,"11,423",12/23/2006,"102,783","9,233,824",1.11,,,
Texas,1/6/2007,"12,699",12/30/2006,"105,544","9,233,824",1.14,,,
Texas,1/13/2007,"16,331",1/6/2007,"109,477","9,238,010",1.19,,,
Texas,1/20/2007,"11,349",1/13/2007,"103,679","9,238,010",1.12,,,
Texas,1/27/2007,"14,371",1/20/2007,"108,150","9,238,010",1.17,,,
Texas,2/3/2007,"12,348",1/27/2007,"101,050","9,238,010",1.09,,,
Texas,2/10/2007,"11,851",2/3/2007,"104,820","9,238,010",1.13,,,
Texas,2/17/2007,"11,031",2/10/2007,"97,648","9,238,010",1.06,,,
Texas,2/24/2007,"10,477",2/17/2007,"100,400","9,238,010",1.09,,,
Texas,3/3/2007,"11,865",2/24/2007,"95,539","9,238,010",1.03,,,
Texas,3/10/2007,"14,702",3/3/2007,"97,862","9,238,010",1.06,,,
Texas,3/17/2007,"12,129",3/10/2007,"92,563","9,238,010",1,,,
Texas,3/24/2007,"11,644",3/17/2007,"99,961","9,238,010",1.08,,,
Texas,3/31/2007,"11,373",3/24/2007,"91,271","9,238,010",0.99,,,
Texas,4/7/2007,"13,540",3/31/2007,"93,274","9,238,010",1.01,,,
Texas,4/14/2007,"12,119",4/7/2007,"89,256","9,323,110",0.96,,,
Texas,4/21/2007,"12,512",4/14/2007,"95,730","9,323,110",1.03,,,
Texas,4/28/2007,"11,466",4/21/2007,"88,681","9,323,110",0.95,,,
Texas,5/5/2007,"12,506",4/28/2007,"94,215","9,323,110",1.01,,,
Texas,5/12/2007,"12,173",5/5/2007,"86,944","9,323,110",0.93,,,
Texas,5/19/2007,"12,751",5/12/2007,"92,958","9,323,110",1,,,
Texas,5/26/2007,"14,900",5/19/2007,"87,106","9,323,110",0.93,,,
Texas,6/2/2007,"12,984",5/26/2007,"91,740","9,323,110",0.98,,,
Texas,6/9/2007,"13,885",6/2/2007,"91,011","9,323,110",0.98,,,
Texas,6/16/2007,"12,433",6/9/2007,"95,501","9,323,110",1.02,,,
Texas,6/23/2007,"12,104",6/16/2007,"95,080","9,323,110",1.02,,,
Texas,6/30/2007,"12,664",6/23/2007,"97,982","9,323,110",1.05,,,
Texas,7/7/2007,"13,403",6/30/2007,"94,742","9,323,110",1.02,,,
Texas,7/14/2007,"12,719",7/7/2007,"100,563","9,410,041",1.07,,,
Texas,7/21/2007,"12,488",7/14/2007,"103,705","9,410,041",1.1,,,
Texas,7/28/2007,"11,496",7/21/2007,"102,871","9,410,041",1.09,,,
Texas,8/4/2007,"12,384",7/28/2007,"101,703","9,410,041",1.08,,,
Texas,8/11/2007,"12,694",8/4/2007,"102,292","9,410,041",1.09,,,
Texas,8/18/2007,"11,386",8/11/2007,"100,547","9,410,041",1.07,,,
Texas,8/25/2007,"11,539",8/18/2007,"100,097","9,410,041",1.06,,,
Texas,9/1/2007,"13,068",8/25/2007,"98,539","9,410,041",1.05,,,
Texas,9/8/2007,"10,598",9/1/2007,"93,014","9,410,041",0.99,,,
Texas,9/15/2007,"11,520",9/8/2007,"95,165","9,410,041",1.01,,,
Texas,9/22/2007,"11,439",9/15/2007,"91,903","9,410,041",0.98,,,
Texas,9/29/2007,"12,751",9/22/2007,"91,716","9,410,041",0.97,,,
Texas,10/6/2007,"12,528",9/29/2007,"90,738","9,410,041",0.96,,,
Texas,10/13/2007,"12,809",10/6/2007,"87,752","9,395,717",0.93,,,
Texas,10/20/2007,"11,912",10/13/2007,"90,875","9,395,717",0.97,,,
Texas,10/27/2007,"12,562",10/20/2007,"91,333","9,395,717",0.97,,,
Texas,11/3/2007,"12,983",10/27/2007,"93,133","9,395,717",0.99,,,
Texas,11/10/2007,"13,779",11/3/2007,"94,518","9,395,717",1.01,,,
Texas,11/17/2007,"14,876",11/10/2007,"94,868","9,395,717",1.01,,,
Texas,11/24/2007,"11,451",11/17/2007,"90,665","9,395,717",0.96,,,
Texas,12/1/2007,"14,542",11/24/2007,"107,619","9,395,717",1.15,,,
Texas,12/8/2007,"13,787",12/1/2007,"98,314","9,395,717",1.05,,,
Texas,12/15/2007,"13,545",12/8/2007,"105,543","9,395,717",1.12,,,
Texas,12/22/2007,"17,933",12/15/2007,"100,067","9,395,717",1.07,,,
Texas,12/29/2007,"9,309",12/22/2007,"101,777","9,395,717",1.08,,,
Texas,1/5/2008,"12,388",12/29/2007,"109,875","9,395,717",1.17,,,
Texas,1/12/2008,"16,181",1/5/2008,"114,125","9,521,337",1.2,,,
Texas,1/19/2008,"14,692",1/12/2008,"109,365","9,521,337",1.15,,,
Texas,1/26/2008,"11,805",1/19/2008,"109,296","9,521,337",1.15,,,
Texas,2/2/2008,"12,968",1/26/2008,"108,412","9,521,337",1.14,,,
Texas,2/9/2008,"12,714",2/2/2008,"105,710","9,521,337",1.11,,,
Texas,2/16/2008,"11,990",2/9/2008,"106,372","9,521,337",1.12,,,
Texas,2/23/2008,"11,881",2/16/2008,"105,395","9,521,337",1.11,,,
Texas,3/1/2008,"12,442",2/23/2008,"107,848","9,521,337",1.13,,,
Texas,3/8/2008,"13,072",3/1/2008,"105,313","9,521,337",1.11,,,
Texas,3/15/2008,"15,247",3/8/2008,"107,446","9,521,337",1.13,,,
Texas,3/22/2008,"12,700",3/15/2008,"105,187","9,521,337",1.1,,,
Texas,3/29/2008,"12,344",3/22/2008,"107,446","9,521,337",1.13,,,
Texas,4/5/2008,"14,721",3/29/2008,"103,573","9,521,337",1.09,,,
Texas,4/12/2008,"14,823",4/5/2008,"104,120","9,729,779",1.07,,,
Texas,4/19/2008,"16,760",4/12/2008,"104,805","9,729,779",1.08,,,
Texas,4/26/2008,"13,387",4/19/2008,"105,437","9,729,779",1.08,,,
Texas,5/3/2008,"13,463",4/26/2008,"110,232","9,729,779",1.13,,,
Texas,5/10/2008,"13,663",5/3/2008,"106,572","9,729,779",1.1,,,
Texas,5/17/2008,"13,705",5/10/2008,"109,298","9,729,779",1.12,,,
Texas,5/24/2008,"13,503",5/17/2008,"106,899","9,729,779",1.1,,,
Texas,5/31/2008,"14,513",5/24/2008,"109,886","9,729,779",1.13,,,
Texas,6/7/2008,"17,244",5/31/2008,"109,643","9,729,779",1.13,,,
Texas,6/14/2008,"14,580",6/7/2008,"110,729","9,729,779",1.14,,,
Texas,6/21/2008,"13,903",6/14/2008,"118,061","9,729,779",1.21,,,
Texas,6/28/2008,"15,440",6/21/2008,"115,019","9,729,779",1.18,,,
Texas,7/5/2008,"13,084",6/28/2008,"119,730","9,729,779",1.23,,,
Texas,7/12/2008,"15,782",7/5/2008,"120,095","9,890,368",1.21,,,
Texas,7/19/2008,"16,944",7/12/2008,"127,602","9,890,368",1.29,,,
Texas,7/26/2008,"13,744",7/19/2008,"123,535","9,890,368",1.25,,,
Texas,8/2/2008,"15,671",7/26/2008,"129,602","9,890,368",1.31,,,
Texas,8/9/2008,"15,261",8/2/2008,"124,027","9,890,368",1.25,,,
Texas,8/16/2008,"14,393",8/9/2008,"126,967","9,890,368",1.28,,,
Texas,8/23/2008,"16,465",8/16/2008,"125,839","9,890,368",1.27,,,
Texas,8/30/2008,"15,650",8/23/2008,"125,496","9,890,368",1.27,,,
Texas,9/6/2008,"12,395",8/30/2008,"120,705","9,890,368",1.22,,,
Texas,9/13/2008,"13,625",9/6/2008,"121,785","9,890,368",1.23,,,
Texas,9/20/2008,"35,860",9/13/2008,"116,371","9,890,368",1.18,,,
Texas,9/27/2008,"49,398",9/20/2008,"130,513","9,890,368",1.32,,,
Texas,10/4/2008,"31,480",9/27/2008,"148,560","9,890,368",1.5,,,
Texas,10/11/2008,"25,512",10/4/2008,"142,724","10,049,842",1.42,,,
Texas,10/18/2008,"24,679",10/11/2008,"139,136","10,049,842",1.38,,,
Texas,10/25/2008,"18,781",10/18/2008,"139,472","10,049,842",1.39,,,
Texas,11/1/2008,"19,982",10/25/2008,"140,768","10,049,842",1.4,,,
Texas,11/8/2008,"21,205",11/1/2008,"143,041","10,049,842",1.42,,,
Texas,11/15/2008,"20,697",11/8/2008,"144,994","10,049,842",1.44,,,
Texas,11/22/2008,"25,399",11/15/2008,"155,335","10,049,842",1.55,,,
Texas,11/29/2008,"18,270",11/22/2008,"145,257","10,049,842",1.45,,,
Texas,12/6/2008,"27,368",11/29/2008,"175,715","10,049,842",1.75,,,
Texas,12/13/2008,"24,785",12/6/2008,"160,963","10,049,842",1.6,,,
Texas,12/20/2008,"27,724",12/13/2008,"182,226","10,049,842",1.81,,,
Texas,12/27/2008,"14,492",12/20/2008,"160,274","10,049,842",1.59,,,
Texas,1/3/2009,"21,677",12/27/2008,"196,976","10,049,842",1.96,,,
Texas,1/10/2009,"30,830",1/3/2009,"189,013","10,193,247",1.85,,,
Texas,1/17/2009,"31,367",1/10/2009,"206,082","10,193,247",2.02,,,
Texas,1/24/2009,"24,183",1/17/2009,"202,492","10,193,247",1.99,,,
Texas,1/31/2009,"25,646",1/24/2009,"215,669","10,193,247",2.12,,,
Texas,2/7/2009,"29,038",1/31/2009,"206,279","10,193,247",2.02,,,
Texas,2/14/2009,"27,851",2/7/2009,"225,370","10,193,247",2.21,,,
Texas,2/21/2009,"26,829",2/14/2009,"223,184","10,193,247",2.19,,,
Texas,2/28/2009,"26,562",2/21/2009,"238,645","10,193,247",2.34,,,
Texas,3/7/2009,"30,569",2/28/2009,"239,186","10,193,247",2.35,,,
Texas,3/14/2009,"31,597",3/7/2009,"251,071","10,193,247",2.46,,,
Texas,3/21/2009,"26,775",3/14/2009,"255,582","10,193,247",2.51,,,
Texas,3/28/2009,"25,623",3/21/2009,"269,495","10,193,247",2.64,,,
Texas,4/4/2009,"29,357",3/28/2009,"268,407","10,193,247",2.63,,,
Texas,4/11/2009,"26,651",4/4/2009,"269,994","10,234,492",2.64,,,
Texas,4/18/2009,"24,333",4/11/2009,"280,385","10,234,492",2.74,,,
Texas,4/25/2009,"24,649",4/18/2009,"284,225","10,234,492",2.78,,,
Texas,5/2/2009,"25,239",4/25/2009,"287,836","10,234,492",2.81,,,
Texas,5/9/2009,"25,579",5/2/2009,"287,826","10,234,492",2.81,,,
Texas,5/16/2009,"25,596",5/9/2009,"292,144","10,234,492",2.85,,,
Texas,5/23/2009,"27,144",5/16/2009,"295,538","10,234,492",2.89,,,
Texas,5/30/2009,"24,258",5/23/2009,"292,580","10,234,492",2.86,,,
Texas,6/6/2009,"27,807",5/30/2009,"302,378","10,234,492",2.95,,,
Texas,6/13/2009,"26,456",6/6/2009,"297,829","10,234,492",2.91,,,
Texas,6/20/2009,"23,697",6/13/2009,"313,537","10,234,492",3.06,,,
Texas,6/27/2009,"23,453",6/20/2009,"305,663","10,234,492",2.99,,,
Texas,7/4/2009,"23,650",6/27/2009,"314,204","10,234,492",3.07,,,
Texas,7/11/2009,"25,376",7/4/2009,"308,982","10,256,771",3.01,,,
Texas,7/18/2009,"22,968",7/11/2009,"313,647","10,256,771",3.06,,,
Texas,7/25/2009,"22,578",7/18/2009,"313,137","10,256,771",3.05,,,
Texas,8/1/2009,"21,447",7/25/2009,"309,672","10,256,771",3.02,,,
Texas,8/8/2009,"23,016",8/1/2009,"304,750","10,256,771",2.97,,,
Texas,8/15/2009,"20,459",8/8/2009,"299,742","10,256,771",2.92,,,
Texas,8/22/2009,"19,927",8/15/2009,"295,488","10,256,771",2.88,,,
Texas,8/29/2009,"22,764",8/22/2009,"288,898","10,256,771",2.82,,,
Texas,9/5/2009,"21,955",8/29/2009,"281,380","10,256,771",2.74,,,
Texas,9/12/2009,"17,332",9/5/2009,"270,468","10,256,771",2.64,,,
Texas,9/19/2009,"21,278",9/12/2009,"276,553","10,256,771",2.7,,,
Texas,9/26/2009,"21,141",9/19/2009,"263,598","10,256,771",2.57,,,
Texas,10/3/2009,"22,432",9/26/2009,"270,309","10,256,771",2.64,,,
Texas,10/10/2009,"24,063",10/3/2009,"255,649","10,229,773",2.5,,,
Texas,10/17/2009,"21,720",10/10/2009,"263,436","10,229,773",2.58,,,
Texas,10/24/2009,"22,230",10/17/2009,"258,201","10,229,773",2.52,,,
Texas,10/31/2009,"23,195",10/24/2009,"260,140","10,229,773",2.54,,,
Texas,11/7/2009,"24,954",10/31/2009,"256,027","10,229,773",2.5,,,
Texas,11/14/2009,"20,244",11/7/2009,"254,048","10,229,773",2.48,,,
Texas,11/21/2009,"23,744",11/14/2009,"259,781","10,229,773",2.54,,,
Texas,11/28/2009,"14,225",11/21/2009,"242,545","10,229,773",2.37,,,
Texas,12/5/2009,"26,447",11/28/2009,"270,021","10,229,773",2.64,,,
Texas,12/12/2009,"21,859",12/5/2009,"252,344","10,229,773",2.47,,,
Texas,12/19/2009,"21,065",12/12/2009,"266,245","10,229,773",2.6,,,
Texas,12/26/2009,"13,109",12/19/2009,"240,644","10,229,773",2.35,,,
Texas,1/2/2010,"16,583",12/26/2009,"265,975","10,229,773",2.6,,,
Texas,1/9/2010,"32,475",1/2/2010,"261,160","10,229,773",2.55,,,
Texas,1/16/2010,"24,421",1/9/2010,"264,374","10,151,451",2.6,,,
Texas,1/23/2010,"19,985",1/16/2010,"254,414","10,151,451",2.51,,,
Texas,1/30/2010,"21,108",1/23/2010,"256,819","10,151,451",2.53,,,
Texas,2/6/2010,"21,864",1/30/2010,"246,546","10,151,451",2.43,,,
Texas,2/13/2010,"19,228",2/6/2010,"249,038","10,151,451",2.45,,,
Texas,2/20/2010,"18,206",2/13/2010,"243,367","10,151,451",2.4,,,
Texas,2/27/2010,"19,646",2/20/2010,"246,629","10,151,451",2.43,,,
Texas,3/6/2010,"20,525",2/27/2010,"239,272","10,151,451",2.36,,,
Texas,3/13/2010,"18,933",3/6/2010,"238,815","10,151,451",2.35,,,
Texas,3/20/2010,"17,567",3/13/2010,"233,413","10,151,451",2.3,,,
Texas,3/27/2010,"21,207",3/20/2010,"236,970","10,151,451",2.33,,,
Texas,4/3/2010,"18,069",3/27/2010,"224,247","10,151,451",2.21,,,
Texas,4/10/2010,"22,645",4/3/2010,"225,666","10,151,451",2.22,,,
Texas,4/17/2010,"20,149",4/10/2010,"218,901","10,054,936",2.18,,,
Texas,4/24/2010,"19,628",4/17/2010,"233,963","10,054,936",2.33,,,
Texas,5/1/2010,"19,643",4/24/2010,"219,271","10,054,936",2.18,,,
Texas,5/8/2010,"20,207",5/1/2010,"220,836","10,054,936",2.2,,,
Texas,5/15/2010,"19,563",5/8/2010,"211,257","10,054,936",2.1,,,
Texas,5/22/2010,"20,042",5/15/2010,"217,016","10,054,936",2.16,,,
Texas,5/29/2010,"18,979",5/22/2010,"210,170","10,054,936",2.09,,,
Texas,6/5/2010,"18,360",5/29/2010,"212,593","10,054,936",2.11,,,
Texas,6/12/2010,"21,331",6/5/2010,"211,377","10,054,936",2.1,,,
Texas,6/19/2010,"20,268",6/12/2010,"221,742","10,054,936",2.21,,,
Texas,6/26/2010,"20,490",6/19/2010,"222,802","10,054,936",2.22,,,
Texas,7/3/2010,"19,812",6/26/2010,"227,549","10,054,936",2.26,,,
Texas,7/10/2010,"21,927",7/3/2010,"226,038","9,958,054",2.27,,,
Texas,7/17/2010,"21,123",7/10/2010,"233,302","9,958,054",2.34,,,
Texas,7/24/2010,"19,095",7/17/2010,"241,794","9,958,054",2.43,,,
Texas,7/31/2010,"19,358",7/24/2010,"240,456","9,958,054",2.41,,,
Texas,8/7/2010,"20,429",7/31/2010,"234,657","9,958,054",2.36,,,
Texas,8/14/2010,"19,271",8/7/2010,"216,017","9,958,054",2.17,,,
Texas,8/21/2010,"18,941",8/14/2010,"218,763","9,958,054",2.2,,,
Texas,8/28/2010,"19,683",8/21/2010,"210,636","9,958,054",2.12,,,
Texas,9/4/2010,"20,492",8/28/2010,"210,311","9,958,054",2.11,,,
Texas,9/11/2010,"16,674",9/4/2010,"197,869","9,958,054",1.99,,,
Texas,9/18/2010,"18,526",9/11/2010,"207,868","9,958,054",2.09,,,
Texas,9/25/2010,"18,445",9/18/2010,"198,589","9,958,054",1.99,,,
Texas,10/2/2010,"18,660",9/25/2010,"202,693","9,958,054",2.04,,,
Texas,10/9/2010,"23,331",10/2/2010,"190,669","9,958,054",1.91,,,
Texas,10/16/2010,"18,946",10/9/2010,"195,886","9,958,054",1.97,,,
Texas,10/23/2010,"19,581",10/16/2010,"201,208","9,900,028",2.03,,,
Texas,10/30/2010,"19,044",10/23/2010,"195,252","9,900,028",1.97,,,
Texas,11/6/2010,"20,679",10/30/2010,"198,148","9,900,028",2,,,
Texas,11/13/2010,"18,047",11/6/2010,"190,017","9,900,028",1.92,,,
Texas,11/20/2010,"21,046",11/13/2010,"202,782","9,900,028",2.05,,,
Texas,11/27/2010,"12,304",11/20/2010,"183,955","9,900,028",1.86,,,
Texas,12/4/2010,"24,115",11/27/2010,"216,383","9,900,028",2.19,,,
Texas,12/11/2010,"19,988",12/4/2010,"190,790","9,900,028",1.93,,,
Texas,12/18/2010,"18,494",12/11/2010,"208,598","9,900,028",2.11,,,
Texas,12/25/2010,"14,590",12/18/2010,"190,908","9,900,028",1.93,,,
Texas,1/1/2011,"15,967",12/25/2010,"215,523","9,900,028",2.18,,,
Texas,1/8/2011,"29,795",1/1/2011,"208,196","9,900,028",2.1,,,
Texas,1/15/2011,"22,605",1/8/2011,"208,853","9,900,028",2.11,,,
Texas,1/22/2011,"18,281",1/15/2011,"202,404","9,900,028",2.04,,,
Texas,1/29/2011,"18,897",1/22/2011,"206,902","9,900,028",2.09,,,
Texas,2/5/2011,"15,240",1/29/2011,"194,441","9,929,409",1.96,,,
Texas,2/12/2011,"17,411",2/5/2011,"200,536","9,929,409",2.02,,,
Texas,2/19/2011,"16,580",2/12/2011,"194,315","9,929,409",1.96,,,
Texas,2/26/2011,"14,873",2/19/2011,"191,750","9,929,409",1.93,,,
Texas,3/5/2011,"17,701",2/26/2011,"186,312","9,929,409",1.88,,,
Texas,3/12/2011,"16,709",3/5/2011,"183,354","9,929,409",1.85,,,
Texas,3/19/2011,"15,622",3/12/2011,"181,406","9,929,409",1.83,,,
Texas,3/26/2011,"19,488",3/19/2011,"186,808","9,929,409",1.88,,,
Texas,4/2/2011,"16,575",3/26/2011,"176,443","9,929,409",1.78,,,
Texas,4/9/2011,"21,683",4/2/2011,"175,091","9,929,409",1.76,,,
Texas,4/16/2011,"17,801",4/9/2011,"171,736","9,929,409",1.73,,,
Texas,4/23/2011,"17,682",4/16/2011,"181,193","9,929,409",1.82,,,
Texas,4/30/2011,"18,678",4/23/2011,"171,437","9,929,409",1.73,,,
Texas,5/7/2011,"19,549",4/30/2011,"180,707","9,929,409",1.82,,,
Texas,5/14/2011,"18,431",5/7/2011,"172,421","9,929,409",1.74,,,
Texas,5/21/2011,"18,337",5/14/2011,"182,093","9,929,409",1.83,,,
Texas,5/28/2011,"17,678",5/21/2011,"173,286","9,929,409",1.75,,,
Texas,6/4/2011,"17,871",5/28/2011,"179,629","9,929,409",1.81,,,
Texas,6/11/2011,"21,204",6/4/2011,"176,189","9,929,409",1.77,,,
Texas,6/18/2011,"19,672",6/11/2011,"187,689","9,929,409",1.89,,,
Texas,6/25/2011,"19,620",6/18/2011,"186,474","9,929,409",1.88,,,
Texas,7/2/2011,"19,269",6/25/2011,"191,339","9,929,409",1.93,,,
Texas,7/9/2011,"20,025",7/2/2011,"183,057","9,976,569",1.83,,,
Texas,7/16/2011,"20,240",7/9/2011,"191,994","9,976,569",1.92,,,
Texas,7/23/2011,"19,439",7/16/2011,"194,360","9,976,569",1.95,,,
Texas,7/30/2011,"17,611",7/23/2011,"193,610","9,976,569",1.94,,,
Texas,8/6/2011,"18,985",7/30/2011,"192,466","9,976,569",1.93,,,
Texas,8/13/2011,"17,295",8/6/2011,"190,177","9,976,569",1.91,,,
Texas,8/20/2011,"17,824",8/13/2011,"193,051","9,976,569",1.94,,,
Texas,8/27/2011,"17,731",8/20/2011,"186,451","9,976,569",1.87,,,
Texas,9/3/2011,"18,970",8/27/2011,"187,100","9,976,569",1.88,,,
Texas,9/10/2011,"15,194",9/3/2011,"173,861","9,976,569",1.74,,,
Texas,9/17/2011,"17,271",9/10/2011,"183,571","9,976,569",1.84,,,
Texas,9/24/2011,"16,504",9/17/2011,"174,344","9,976,569",1.75,,,
Texas,10/1/2011,"16,382",9/24/2011,"180,896","9,976,569",1.81,,,
Texas,10/8/2011,"21,026",10/1/2011,"169,261","10,030,504",1.69,,,
Texas,10/15/2011,"17,537",10/8/2011,"174,199","10,030,504",1.74,,,
Texas,10/22/2011,"17,892",10/15/2011,"176,227","10,030,504",1.76,,,
Texas,10/29/2011,"17,538",10/22/2011,"174,692","10,030,504",1.74,,,
Texas,11/5/2011,"19,873",10/29/2011,"173,786","10,030,504",1.73,,,
Texas,11/12/2011,"17,042",11/5/2011,"170,215","10,030,504",1.7,,,
Texas,11/19/2011,"20,143",11/12/2011,"179,126","10,030,504",1.79,,,
Texas,11/26/2011,"11,600",11/19/2011,"168,824","10,030,504",1.68,,,
Texas,12/3/2011,"22,081",11/26/2011,"196,053","10,030,504",1.95,,,
Texas,12/10/2011,"18,101",12/3/2011,"173,402","10,030,504",1.73,,,
Texas,12/17/2011,"16,354",12/10/2011,"188,851","10,030,504",1.88,,,
Texas,12/24/2011,"15,478",12/17/2011,"175,238","10,030,504",1.75,,,
Texas,12/31/2011,"13,093",12/24/2011,"187,587","10,030,504",1.87,,,
Texas,1/7/2012,"27,039",12/31/2011,"195,298","10,092,403",1.94,,,
Texas,1/14/2012,"20,159",1/7/2012,"188,266","10,092,403",1.87,,,
Texas,1/21/2012,"16,128",1/14/2012,"184,056","10,092,403",1.82,,,
Texas,1/28/2012,"17,613",1/21/2012,"186,542","10,092,403",1.85,,,
Texas,2/4/2012,"16,983",1/28/2012,"176,585","10,092,403",1.75,,,
Texas,2/11/2012,"15,730",2/4/2012,"176,460","10,092,403",1.75,,,
Texas,2/18/2012,"15,549",2/11/2012,"172,258","10,092,403",1.71,,,
Texas,2/25/2012,"14,014",2/18/2012,"171,982","10,092,403",1.7,,,
Texas,3/3/2012,"16,130",2/25/2012,"168,795","10,092,403",1.67,,,
Texas,3/10/2012,"15,917",3/3/2012,"164,291","10,092,403",1.63,,,
Texas,3/17/2012,"14,130",3/10/2012,"162,134","10,092,403",1.61,,,
Texas,3/24/2012,"18,315",3/17/2012,"168,232","10,092,403",1.67,,,
Texas,3/31/2012,"15,365",3/24/2012,"158,508","10,092,403",1.57,,,
Texas,4/7/2012,"18,997",3/31/2012,"159,710","10,092,403",1.58,,,
Texas,4/14/2012,"17,012",4/7/2012,"154,326","10,158,134",1.52,,,
Texas,4/21/2012,"16,932",4/14/2012,"161,893","10,158,134",1.59,,,
Texas,4/28/2012,"17,169",4/21/2012,"155,800","10,158,134",1.53,,,
Texas,5/5/2012,"18,398",4/28/2012,"159,389","10,158,134",1.57,,,
Texas,5/12/2012,"16,952",5/5/2012,"152,911","10,158,134",1.51,,,
Texas,5/19/2012,"18,600",5/12/2012,"160,289","10,158,134",1.58,,,
Texas,5/26/2012,"18,224",5/19/2012,"155,767","10,158,134",1.53,,,
Texas,6/2/2012,"16,370",5/26/2012,"160,961","10,158,134",1.58,,,
Texas,6/9/2012,"20,398",6/2/2012,"158,108","10,158,134",1.56,,,
Texas,6/16/2012,"19,631",6/9/2012,"166,872","10,158,134",1.64,,,
Texas,6/23/2012,"19,471",6/16/2012,"171,800","10,158,134",1.69,,,
Texas,6/30/2012,"17,275",6/23/2012,"171,263","10,158,134",1.69,,,
Texas,7/7/2012,"18,599",6/30/2012,"169,403","10,158,134",1.67,,,
Texas,7/14/2012,"19,300",7/7/2012,"173,540","10,218,819",1.7,,,
Texas,7/21/2012,"17,402",7/14/2012,"180,015","10,218,819",1.76,,,
Texas,7/28/2012,"16,640",7/21/2012,"175,373","10,218,819",1.72,,,
Texas,8/4/2012,"17,304",7/28/2012,"179,792","10,218,819",1.76,,,
Texas,8/11/2012,"16,644",8/4/2012,"167,561","10,218,819",1.64,,,
Texas,8/18/2012,"17,161",8/11/2012,"175,896","10,218,819",1.72,,,
Texas,8/25/2012,"17,287",8/18/2012,"169,743","10,218,819",1.66,,,
Texas,9/1/2012,"18,091",8/25/2012,"172,902","10,218,819",1.69,,,
Texas,9/8/2012,"17,074",9/1/2012,"162,829","10,218,819",1.59,,,
Texas,9/15/2012,"16,711",9/8/2012,"166,291","10,218,819",1.63,,,
Texas,9/22/2012,"16,612",9/15/2012,"159,281","10,218,819",1.56,,,
Texas,9/29/2012,"15,739",9/22/2012,"161,004","10,218,819",1.58,,,
Texas,10/6/2012,"17,463",9/29/2012,"155,467","10,218,819",1.52,,,
Texas,10/13/2012,"18,792",10/6/2012,"154,715","10,288,056",1.5,,,
Texas,10/20/2012,"17,220",10/13/2012,"155,286","10,288,056",1.51,,,
Texas,10/27/2012,"16,681",10/20/2012,"157,327","10,288,056",1.53,,,
Texas,11/3/2012,"17,071",10/27/2012,"155,267","10,288,056",1.51,,,
Texas,11/10/2012,"18,603",11/3/2012,"153,932","10,288,056",1.5,,,
Texas,11/17/2012,"18,504",11/10/2012,"154,664","10,288,056",1.5,,,
Texas,11/24/2012,"12,079",11/17/2012,"151,754","10,288,056",1.48,,,
Texas,12/1/2012,"22,514",11/24/2012,"171,573","10,288,056",1.67,,,
Texas,12/8/2012,"18,664",12/1/2012,"160,836","10,288,056",1.56,,,
Texas,12/15/2012,"17,128",12/8/2012,"165,427","10,288,056",1.61,,,
Texas,12/22/2012,"16,952",12/15/2012,"161,742","10,288,056",1.57,,,
Texas,12/29/2012,"9,477",12/22/2012,"157,888","10,288,056",1.53,,,
Texas,1/5/2013,"18,146",12/29/2012,"170,461","10,288,056",1.66,,,
Texas,1/12/2013,"30,932",1/5/2013,"176,283","10,361,230",1.7,,,
Texas,1/19/2013,"20,484",1/12/2013,"176,204","10,361,230",1.7,,,
Texas,1/26/2013,"15,402",1/19/2013,"174,375","10,361,230",1.68,,,
Texas,2/2/2013,"17,473",1/26/2013,"169,383","10,361,230",1.63,,,
Texas,2/9/2013,"17,112",2/2/2013,"161,316","10,361,230",1.56,,,
Texas,2/16/2013,"16,273",2/9/2013,"164,350","10,361,230",1.59,,,
Texas,2/23/2013,"14,939",2/16/2013,"161,070","10,361,230",1.55,,,
Texas,3/2/2013,"15,746",2/23/2013,"161,576","10,361,230",1.56,,,
